Sensors,SNR (dB),Ux (M=0),Uy (M=1)
4,10,0.1266179016480843,0.1476344664891561
4,20,0.12217112071812153,0.1384444603075584
4,60,0.10987985134124756,0.12439973714450996
4,0,0.1098879383256038,0.1244121678173542
16,10,0.11821972082058589,0.1334306492159764
16,20,0.10840441845357418,0.12157967127859592
16,60,0.10640088903407256,0.11975716302792232
16,0,0.10655231773853302,0.11991746289034684
