Sensors,SNR (dB),U (M=0),V (M=1),P (M=2)
4,10,0.10136064638694127,0.216927836338679,0.4508302683631579
4,20,0.08908875472843647,0.19113334516684213,0.4392528310418129
4,60,0.0868910551071167,0.1909587879975637,0.43671885629494983
4,0,0.08712056092917919,0.19056018069386482,0.4369751885533333
16,10,0.09968973075350125,0.2100706435739994,0.45568056404590607
16,20,0.08467867163320382,0.1822639505068461,0.43260187407334644
16,60,0.08734345063567162,0.18851343914866447,0.438683457672596
16,0,0.08698507646719615,0.1881729376812776,0.437995341916879
